run,batch_size,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second
1,8,0.0003,23.6698,619.862,77.567,0.404075701512023,4.0,1.1398804187774658,0.7034313725490197,0.800658978583196,0.4566,893.556,111.695
1,8,0.0001,22.1645,661.96,82.835,0.47345523792674077,4.0,0.6656573414802551,0.7377450980392157,0.8325508607198748,0.5487,743.535,92.942
1,8,5e-05,22.0392,665.722,83.306,0.5309766798497285,4.0,0.587859570980072,0.7279411764705882,0.8268330733229329,0.4545,897.739,112.217
1,8,3e-05,22.0764,664.601,83.166,0.5637553262814458,4.0,0.5771942734718323,0.7107843137254902,0.8195718654434251,0.6169,661.357,82.67
1,16,0.0003,12.7368,1151.937,72.232,0.40669037362803584,4.0,0.7519146800041199,0.7377450980392157,0.8243021346469622,0.3506,1163.692,74.157
1,16,0.0001,12.7979,1146.44,71.887,0.5020559891410495,4.0,0.5896832346916199,0.7328431372549019,0.8299531981279251,0.4259,958.049,61.052
1,16,5e-05,13.0004,1128.581,70.767,0.5531564961309018,4.0,0.568650484085083,0.7205882352941176,0.8246153846153846,0.3651,1117.351,71.204
1,16,3e-05,12.7743,1148.559,72.02,0.580059698353643,4.0,0.5735155940055847,0.696078431372549,0.8126888217522659,0.4368,933.964,59.517
1,32,0.0003,8.3334,1760.619,55.199,0.43501543791397757,4.0,0.6537364721298218,0.7377450980392157,0.8304278922345484,0.3362,1213.479,38.665
1,32,0.0001,8.1846,1792.64,56.203,0.5322120666503907,4.0,0.5717409253120422,0.7254901960784313,0.8255451713395638,0.3354,1216.445,38.759
1,32,5e-05,8.1657,1796.779,56.333,0.5740605893342391,4.0,0.56805819272995,0.7107843137254902,0.8201219512195121,0.3374,1209.424,38.536
1,32,3e-05,8.1325,1804.122,56.563,0.5975138125212296,4.0,0.5790587663650513,0.696078431372549,0.8138138138138138,0.3806,1072.047,34.158
1,64,0.0003,6.2412,2350.814,37.172,0.4707464020827721,4.0,0.5971444249153137,0.75,0.8386075949367089,0.3442,1185.496,20.339
1,64,0.0001,6.1972,2367.507,37.436,0.5603954052102977,4.0,0.5612186193466187,0.7303921568627451,0.8297213622291022,0.3096,1317.729,22.608
1,64,5e-05,6.1969,2367.642,37.438,0.5961887096536571,4.0,0.5777505040168762,0.6887254901960784,0.8078668683812406,0.3217,1268.385,21.762
1,64,3e-05,6.2064,2363.997,37.381,0.6165741229879445,4.0,0.5916686058044434,0.7034313725490197,0.8217967599410898,0.2988,1365.62,23.43
1,128,0.0003,5.4403,2696.906,21.322,0.5189324411852606,4.0,0.5759289264678955,0.7352941176470589,0.8291139240506329,0.2934,1390.671,13.634
1,128,0.0001,5.5194,2658.251,21.017,0.5897226004764952,4.0,0.5748432874679565,0.6911764705882353,0.8073394495412844,0.2971,1373.474,13.465
1,128,5e-05,5.4322,2700.954,21.354,0.6204661007585197,4.0,0.5952083468437195,0.6936274509803921,0.8169838945827232,0.3456,1180.481,11.573
1,128,3e-05,5.5876,2625.811,20.76,0.6398460125101024,4.0,0.609874427318573,0.6838235294117647,0.8122270742358079,0.406,1004.897,9.852
2,8,0.0003,21.8502,671.48,84.027,0.4129647107425598,4.0,1.0637654066085815,0.7132352941176471,0.8059701492537313,0.4686,870.77,108.846
2,8,0.0001,22.1397,662.702,82.928,0.47345523792674077,4.0,0.6656573414802551,0.7377450980392157,0.8325508607198748,0.4491,908.42,113.552
2,8,5e-05,21.9262,669.154,83.735,0.5309766798497285,4.0,0.587859570980072,0.7279411764705882,0.8268330733229329,0.4487,909.393,113.674
2,8,3e-05,21.9808,667.491,83.527,0.5637553262814458,4.0,0.5771942734718323,0.7107843137254902,0.8195718654434251,0.5159,790.907,98.863
2,16,0.0003,12.8673,1140.259,71.499,0.40669037362803584,4.0,0.7519146800041199,0.7377450980392157,0.8243021346469622,0.3716,1098.014,69.971
2,16,0.0001,12.7264,1152.878,72.291,0.5020559891410495,4.0,0.5896832346916199,0.7328431372549019,0.8299531981279251,0.3749,1088.338,69.355
2,16,5e-05,13.0137,1127.424,70.695,0.5531564961309018,4.0,0.568650484085083,0.7205882352941176,0.8246153846153846,0.3648,1118.323,71.266
2,16,3e-05,13.1115,1119.017,70.167,0.580059698353643,4.0,0.5735155940055847,0.696078431372549,0.8126888217522659,0.3841,1062.229,67.691
2,32,0.0003,8.2276,1783.267,55.909,0.43501543791397757,4.0,0.6537364721298218,0.7377450980392157,0.8304278922345484,0.314,1299.498,41.406
2,32,0.0001,8.5583,1714.359,53.749,0.5322120666503907,4.0,0.5717409253120422,0.7254901960784313,0.8255451713395638,0.3997,1020.77,32.525
2,32,5e-05,8.2062,1787.916,56.055,0.5740605893342391,4.0,0.56805819272995,0.7107843137254902,0.8201219512195121,0.656,621.949,19.817
2,32,3e-05,8.4253,1741.423,54.598,0.5975138125212296,4.0,0.5790587663650513,0.696078431372549,0.8138138138138138,0.3268,1248.607,39.784
2,64,0.0003,6.2864,2333.916,36.905,0.4707464020827721,4.0,0.5971444249153137,0.75,0.8386075949367089,0.3134,1301.825,22.335
2,64,0.0001,6.2658,2341.61,37.027,0.5603954052102977,4.0,0.5612186193466187,0.7303921568627451,0.8297213622291022,0.3152,1294.603,22.211
2,64,5e-05,6.2408,2350.99,37.175,0.5961887096536571,4.0,0.5777505040168762,0.6887254901960784,0.8078668683812406,0.3226,1264.818,21.7
2,64,3e-05,6.2761,2337.755,36.966,0.6165741229879445,4.0,0.5916686058044434,0.7034313725490197,0.8217967599410898,0.3075,1326.655,22.761
2,128,0.0003,5.7367,2557.586,20.221,0.5189324411852606,4.0,0.5759289264678955,0.7352941176470589,0.8291139240506329,0.4032,1012.02,9.922
2,128,0.0001,5.5372,2649.696,20.949,0.5897226004764952,4.0,0.5748432874679565,0.6911764705882353,0.8073394495412844,1.3407,304.328,2.984
2,128,5e-05,6.3912,2295.662,18.15,0.6204661007585197,4.0,0.5952083468437195,0.6936274509803921,0.8169838945827232,0.2971,1373.469,13.465
2,128,3e-05,5.4654,2684.543,21.225,0.6398460125101024,4.0,0.609874427318573,0.6838235294117647,0.8122270742358079,0.2962,1377.514,13.505
3,8,0.0003,22.7015,646.3,80.876,0.4129647107425598,4.0,1.0637654066085815,0.7132352941176471,0.8059701492537313,0.4518,903.057,112.882
3,8,0.0001,22.3427,656.679,82.174,0.47345523792674077,4.0,0.6656573414802551,0.7377450980392157,0.8325508607198748,0.4647,878.037,109.755
3,8,5e-05,23.1129,634.798,79.436,0.5309766798497285,4.0,0.587859570980072,0.7279411764705882,0.8268330733229329,0.4421,922.97,115.371
3,8,3e-05,22.0915,664.147,83.109,0.5637553262814458,4.0,0.5771942734718323,0.7107843137254902,0.8195718654434251,0.4464,914.005,114.251
3,16,0.0003,12.8486,1141.911,71.603,0.40669037362803584,4.0,0.7519146800041199,0.7377450980392157,0.8243021346469622,0.3729,1094.107,69.723
3,16,0.0001,12.8301,1143.561,71.706,0.5020559891410495,4.0,0.5896832346916199,0.7328431372549019,0.8299531981279251,0.4133,987.196,62.91
3,16,5e-05,12.708,1154.548,72.395,0.5531564961309018,4.0,0.568650484085083,0.7205882352941176,0.8246153846153846,0.3959,1030.53,65.671
3,16,3e-05,12.7414,1151.523,72.206,0.580059698353643,4.0,0.5735155940055847,0.696078431372549,0.8126888217522659,0.3604,1132.214,72.151
3,32,0.0003,8.1649,1796.955,56.339,0.43501543791397757,4.0,0.6537364721298218,0.7377450980392157,0.8304278922345484,0.3754,1086.697,34.625
3,32,0.0001,8.0948,1812.527,56.827,0.5322120666503907,4.0,0.5717409253120422,0.7254901960784313,0.8255451713395638,0.3637,1121.922,35.748
3,32,5e-05,7.9182,1852.954,58.094,0.5740605893342391,4.0,0.56805819272995,0.7107843137254902,0.8201219512195121,0.3845,1061.075,33.809
3,32,3e-05,8.0335,1826.359,57.26,0.5975138125212296,4.0,0.5790587663650513,0.696078431372549,0.8138138138138138,0.3356,1215.744,38.737
3,64,0.0003,6.1255,2395.242,37.875,0.4707464020827721,4.0,0.5971444249153137,0.75,0.8386075949367089,0.3035,1344.506,23.067
3,64,0.0001,6.1,2405.235,38.033,0.5603954052102977,4.0,0.5612186193466187,0.7303921568627451,0.8297213622291022,0.3534,1154.403,19.806
3,64,5e-05,6.0812,2412.672,38.15,0.5961887096536571,4.0,0.5777505040168762,0.6887254901960784,0.8078668683812406,0.2982,1368.077,23.472
3,64,3e-05,6.2135,2361.324,37.338,0.6165741229879445,4.0,0.5916686058044434,0.7034313725490197,0.8217967599410898,0.3743,1089.956,18.7
3,128,0.0003,5.3848,2724.684,21.542,0.5189324411852606,4.0,0.5759289264678955,0.7352941176470589,0.8291139240506329,0.334,1221.415,11.975
3,128,0.0001,5.4174,2708.334,21.413,0.5897226004764952,4.0,0.5748432874679565,0.6911764705882353,0.8073394495412844,0.318,1282.853,12.577
3,128,5e-05,5.3923,2720.906,21.512,0.6204661007585197,4.0,0.5952083468437195,0.6936274509803921,0.8169838945827232,0.3052,1337.014,13.108
3,128,3e-05,5.6101,2615.289,20.677,0.6398460125101024,4.0,0.609874427318573,0.6838235294117647,0.8122270742358079,0.3005,1357.532,13.309
4,8,0.0003,22.7407,645.186,80.736,0.4129647107425598,4.0,1.0637654066085815,0.7132352941176471,0.8059701492537313,0.5279,772.907,96.613
4,8,0.0001,22.6721,647.138,80.98,0.47345523792674077,4.0,0.6656573414802551,0.7377450980392157,0.8325508607198748,0.4874,837.115,104.639
4,8,5e-05,22.6656,647.323,81.004,0.5309766798497285,4.0,0.587859570980072,0.7279411764705882,0.8268330733229329,0.4576,891.626,111.453
4,8,3e-05,22.3426,656.682,82.175,0.5637553262814458,4.0,0.5771942734718323,0.7107843137254902,0.8195718654434251,0.4412,924.685,115.586
4,16,0.0003,12.7692,1149.013,72.048,0.40669037362803584,4.0,0.7519146800041199,0.7377450980392157,0.8243021346469622,0.4805,849.175,54.114
