batch_size,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_parameters,trainable_parameters
8,0.0003,35.2429,416.311,52.096,0.4777155400361371,4.0,1.093766212463379,0.6715686274509803,0.7471698113207547,0.7875,518.1,64.762,11171074,11171074
8,0.0001,34.7105,422.696,52.895,0.39984464957044014,4.0,0.9554302096366882,0.7549019607843137,0.8281786941580757,0.8017,508.901,63.613,11171074,11171074
8,5e-05,34.8665,420.805,52.658,0.4058295023467286,4.0,0.589651882648468,0.803921568627451,0.8606271777003485,0.8267,493.501,61.688,11171074,11171074
8,3e-05,34.8788,420.656,52.639,0.45471705850173183,4.0,0.5073267817497253,0.7892156862745098,0.8501742160278746,0.8223,496.159,62.02,11171074,11171074
16,0.0003,21.5252,681.619,42.741,0.3841026803721552,4.0,1.0651037693023682,0.7230392156862745,0.8021015761821366,0.6976,584.847,37.27,11171074,11171074
16,0.0001,21.3818,686.192,43.027,0.38788483661154044,4.0,0.6599036455154419,0.7671568627450981,0.8359240069084629,0.6802,599.835,38.225,11171074,11171074
16,5e-05,21.2484,690.5,43.297,0.43540860051694125,4.0,0.46178555488586426,0.8063725490196079,0.8626086956521739,0.7023,580.908,37.019,11171074,11171074
16,3e-05,21.2583,690.176,43.277,0.4838610773501189,4.0,0.4712519943714142,0.7696078431372549,0.8384879725085911,0.7816,522.006,33.265,11171074,11171074
32,0.0003,16.5811,884.865,27.743,0.365704577902089,4.0,0.8027786612510681,0.7573529411764706,0.8330522765598651,0.672,607.175,19.346,11171074,11171074
32,0.0001,16.2877,900.802,28.242,0.4027526192043139,4.0,0.5225716829299927,0.7745098039215687,0.8408304498269896,0.6979,584.638,18.628,11171074,11171074
32,5e-05,16.3524,897.237,28.13,0.4728426394255265,4.0,0.4690450131893158,0.7769607843137255,0.842832469775475,0.6437,633.787,20.194,11171074,11171074
32,3e-05,16.2174,904.705,28.365,0.5142016203507133,4.0,0.48942670226097107,0.7549019607843137,0.8344370860927153,0.6726,606.609,19.328,11171074,11171074
64,0.0003,15.1168,970.579,15.347,0.36812943425671807,4.0,0.6639034152030945,0.7598039215686274,0.8280701754385965,0.6286,649.084,11.136,11171074,11171074
64,0.0001,15.025,976.505,15.441,0.4474343266980401,4.0,0.47803330421447754,0.7990196078431373,0.8610169491525423,0.645,632.535,10.852,11171074,11171074
64,5e-05,14.9936,978.552,15.473,0.5032135535930765,4.0,0.48988640308380127,0.7696078431372549,0.8433333333333334,0.6273,650.373,11.158,11171074,11171074
64,3e-05,15.0373,975.708,15.428,0.5400381417110048,4.0,0.5123254656791687,0.7524509803921569,0.835236541598695,0.6806,599.469,10.285,11171074,11171074
128,0.0003,14.4393,1016.114,8.034,0.4550747378119107,4.0,0.5940830111503601,0.75,0.8277027027027027,0.6693,609.559,5.976,11171074,11171074
128,0.0001,14.4571,1014.863,8.024,0.5085905009302599,4.0,0.4915316700935364,0.7475490196078431,0.8239316239316239,0.6379,639.597,6.271,11171074,11171074
128,5e-05,14.3729,1020.808,8.071,0.54274792506777,4.0,0.5055544376373291,0.7549019607843137,0.8366013071895425,0.6402,637.307,6.248,11171074,11171074
128,3e-05,14.4151,1017.825,8.047,0.5715737836114292,4.0,0.5405035614967346,0.7450980392156863,0.8354430379746836,0.6336,643.963,6.313,11171074,11171074
