batch_size,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_parameters,trainable_parameters
8,0.0003,57.8621,253.568,31.731,0.6411542871678837,4.0,0.624029278755188,0.6838235294117647,0.8122270742358079,0.8546,477.439,59.68,28764674,28764674
8,0.0001,57.6064,254.694,31.871,0.34778909122242646,4.0,1.2381914854049683,0.7696078431372549,0.8417508417508418,0.8331,489.713,61.214,28764674,28764674
8,5e-05,59.1507,248.044,31.039,0.32223956829062733,4.0,0.8565652966499329,0.8161764705882353,0.8726655348047538,0.8415,484.842,60.605,28764674,28764674
8,3e-05,58.1944,252.121,31.549,0.3667250365213631,4.0,0.5973342061042786,0.8333333333333334,0.8859060402684564,0.8504,479.786,59.973,28764674,28764674
16,0.0003,44.1305,332.468,20.847,0.4186670386272928,4.0,1.071877121925354,0.7181372549019608,0.7978910369068541,0.8136,501.489,31.958,28764674,28764674
16,0.0001,44.2443,331.613,20.794,0.318675766820493,4.0,0.9898021817207336,0.7671568627450981,0.8330404217926186,0.8161,499.931,31.858,28764674,28764674
16,5e-05,44.2229,331.774,20.804,0.34519176483154296,4.0,0.5593783855438232,0.8112745098039216,0.8670120898100173,0.8018,508.883,32.429,28764674,28764674
16,3e-05,44.811,327.42,20.531,0.39819976143215013,4.0,0.42956361174583435,0.8014705882352942,0.8638655462184874,0.8156,500.256,31.879,28764674,28764674
32,0.0003,38.2949,383.132,12.012,0.3888619796089504,4.0,1.0397051572799683,0.7009803921568627,0.7932203389830509,0.7846,520.007,16.569,28764674,28764674
32,0.0001,38.3588,382.494,11.992,0.32324958469556725,4.0,0.5668432712554932,0.8235294117647058,0.8775510204081632,0.7912,515.645,16.43,28764674,28764674
32,5e-05,38.4523,381.564,11.963,0.39331210592518684,4.0,0.4625893533229828,0.8014705882352942,0.8661157024793389,0.7912,515.676,16.431,28764674,28764674
32,3e-05,38.3428,382.653,11.997,0.4645555579144022,4.0,0.49433887004852295,0.7622549019607843,0.8412438625204582,0.8099,503.744,16.051,28764674,28764674
64,0.0003,36.814,398.545,6.302,0.3362513903913827,4.0,0.8030795454978943,0.7720588235294118,0.8382608695652174,0.8757,465.917,7.994,28764674,28764674
64,0.0001,36.4777,402.219,6.36,0.3479101246800916,4.0,0.5237591862678528,0.8014705882352942,0.8638655462184874,0.8007,509.569,8.743,28764674,28764674
64,5e-05,36.5424,401.506,6.349,0.43782322982261923,4.0,0.46653056144714355,0.7843137254901961,0.8533333333333334,0.8006,509.631,8.744,28764674,28764674
64,3e-05,36.4948,402.03,6.357,0.503720316393622,4.0,0.5000389814376831,0.7573529411764706,0.8405797101449275,0.8038,507.589,8.709,28764674,28764674
128,0.0003,36.1671,405.673,3.207,0.35784339904785156,4.0,0.6577503681182861,0.7818627450980392,0.8494077834179357,0.8036,507.737,4.978,28764674,28764674
128,0.0001,36.2139,405.148,3.203,0.41609747656460466,4.0,0.489401251077652,0.7769607843137255,0.851063829787234,0.8797,463.777,4.547,28764674,28764674
128,5e-05,36.4974,402.001,3.178,0.5086786664765457,4.0,0.5032727122306824,0.7524509803921569,0.8373590982286635,0.8274,493.085,4.834,28764674,28764674
128,3e-05,36.4385,402.651,3.183,0.547728209659971,4.0,0.5251005291938782,0.7328431372549019,0.8288854003139717,0.8067,505.734,4.958,28764674,28764674
