rank,alpha,batch_size,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_parameters,trainable_parameters
1,1,8,0.0003,32.8774,446.265,55.844,0.5914751189986086,4.0,0.5547839999198914,0.7083333333333334,0.8183206106870229,0.9548,427.317,53.415,28772866,8192
1,1,8,0.0001,32.7311,448.258,56.093,0.6173109249871281,4.0,0.6032646298408508,0.6911764705882353,0.8136094674556213,1.0166,401.342,50.168,28772866,8192
1,1,8,5e-05,33.2663,441.047,55.191,0.6322093705985541,4.0,0.6219640970230103,0.6838235294117647,0.8122270742358079,0.8603,474.231,59.279,28772866,8192
1,1,8,3e-05,32.9529,445.241,55.716,0.6397621553707746,4.0,0.6288613677024841,0.6838235294117647,0.8122270742358079,0.9068,449.917,56.24,28772866,8192
1,1,16,0.0003,27.8432,526.951,33.042,0.6011430657428244,4.0,0.5822613835334778,0.6911764705882353,0.8108108108108109,0.8269,493.411,31.443,28772866,8192
1,1,16,0.0001,27.7942,527.88,33.1,0.6249204884404721,4.0,0.6098563075065613,0.6838235294117647,0.8111273792093704,0.8124,502.207,32.003,28772866,8192
1,1,16,5e-05,27.8562,526.705,33.027,0.6375723797342051,4.0,0.6269484758377075,0.6838235294117647,0.8122270742358079,0.8157,500.182,31.874,28772866,8192
1,1,16,3e-05,27.8025,527.723,33.091,0.6453010890794837,4.0,0.6331382989883423,0.6838235294117647,0.8122270742358079,0.8122,502.312,32.01,28772866,8192
1,1,32,0.0003,27.1211,540.98,16.961,0.6098466956097147,4.0,0.5885100364685059,0.696078431372549,0.8143712574850299,0.8122,502.336,16.006,28772866,8192
1,1,32,0.0001,27.2646,538.135,16.872,0.6342777418053669,4.0,0.6205326318740845,0.6838235294117647,0.8122270742358079,0.8105,503.385,16.039,28772866,8192
1,1,32,5e-05,27.1631,540.145,16.935,0.645599365234375,4.0,0.6317541599273682,0.6838235294117647,0.8122270742358079,0.8059,506.257,16.131,28772866,8192
1,1,32,3e-05,27.1888,539.634,16.919,0.6545532889988112,4.0,0.641201376914978,0.6838235294117647,0.8122270742358079,0.7984,511.003,16.282,28772866,8192
1,1,64,0.0003,27.1597,540.212,8.542,0.6169301394758553,4.0,0.5991474390029907,0.6911764705882353,0.8136094674556213,0.8516,479.106,8.22,28772866,8192
1,1,64,0.0001,27.3211,537.021,8.492,0.6398813313451307,4.0,0.628832995891571,0.6838235294117647,0.8122270742358079,0.8043,507.264,8.703,28772866,8192
1,1,64,5e-05,27.2804,537.822,8.504,0.6522247051370555,4.0,0.6405690312385559,0.6838235294117647,0.8122270742358079,0.8094,504.047,8.648,28772866,8192
1,1,64,3e-05,27.2733,537.962,8.506,0.6601011999722185,4.0,0.6511697173118591,0.6813725490196079,0.8099415204678363,0.8114,502.83,8.627,28772866,8192
1,1,128,0.0003,27.284,537.751,4.252,0.631603898673222,4.0,0.6150071024894714,0.6838235294117647,0.8122270742358079,0.8156,500.266,4.905,28772866,8192
1,1,128,0.0001,27.4275,534.938,4.229,0.6515923861799569,4.0,0.6375357508659363,0.6838235294117647,0.8122270742358079,0.8349,488.676,4.791,28772866,8192
1,1,128,5e-05,27.2998,537.441,4.249,0.6624419113685345,4.0,0.6520062685012817,0.6813725490196079,0.8099415204678363,0.8244,494.923,4.852,28772866,8192
1,1,128,3e-05,27.3836,535.794,4.236,0.6675265739704,4.0,0.6594297885894775,0.6691176470588235,0.8,0.8287,492.325,4.827,28772866,8192
1,2,8,0.0003,32.8579,446.529,55.877,0.5742961659150965,4.0,0.5490994453430176,0.7156862745098039,0.8176100628930818,0.8617,473.495,59.187,28772866,8192
1,2,8,0.0001,32.7607,447.854,56.043,0.6050839891620711,4.0,0.5900383591651917,0.696078431372549,0.8143712574850299,0.8605,474.134,59.267,28772866,8192
1,2,8,5e-05,32.6541,449.316,56.226,0.6185593781647859,4.0,0.6045717597007751,0.6887254901960784,0.8118518518518518,0.878,464.704,58.088,28772866,8192
1,2,8,3e-05,32.6747,449.033,56.19,0.6299872554205601,4.0,0.6191754937171936,0.6813725490196079,0.8104956268221575,0.8539,477.835,59.729,28772866,8192
1,2,16,0.0003,27.9398,525.129,32.928,0.5859733415686565,4.0,0.5621215105056763,0.7034313725490197,0.815267175572519,0.8205,497.231,31.686,28772866,8192
1,2,16,0.0001,27.875,526.351,33.005,0.6133675285007643,4.0,0.5968688726425171,0.6887254901960784,0.8107302533532041,0.8143,501.047,31.929,28772866,8192
1,2,16,5e-05,27.9022,525.836,32.972,0.6277782274329144,4.0,0.6147902011871338,0.6838235294117647,0.8111273792093704,0.8371,487.416,31.061,28772866,8192
1,2,16,3e-05,27.8807,526.242,32.998,0.63659551869268,4.0,0.6263638138771057,0.6838235294117647,0.8122270742358079,0.8209,497.015,31.673,28772866,8192
1,2,32,0.0003,27.1462,540.48,16.945,0.5988405310589334,4.0,0.5789710879325867,0.696078431372549,0.8143712574850299,0.9303,438.581,13.974,28772866,8192
1,2,32,0.0001,27.4597,534.31,16.752,0.621275462274966,4.0,0.6029930114746094,0.6936274509803921,0.8153618906942393,0.8289,492.241,15.684,28772866,8192
1,2,32,5e-05,27.0795,541.813,16.987,0.6355482018512228,4.0,0.6226946115493774,0.6813725490196079,0.8104956268221575,0.8196,497.792,15.861,28772866,8192
1,2,32,3e-05,27.121,540.984,16.961,0.6435678233271059,4.0,0.6302734017372131,0.6838235294117647,0.8122270742358079,0.8216,496.576,15.822,28772866,8192
1,2,64,0.0003,27.1659,540.09,8.54,0.6015784164954876,4.0,0.5824288129806519,0.6911764705882353,0.8108108108108109,0.8137,501.414,8.603,28772866,8192
1,2,64,0.0001,27.3145,537.151,8.494,0.6268661104399582,4.0,0.6124435067176819,0.6838235294117647,0.8116788321167884,0.8033,507.892,8.714,28772866,8192
1,2,64,5e-05,27.5107,533.319,8.433,0.6404204533017915,4.0,0.6294591426849365,0.6838235294117647,0.8122270742358079,0.8207,497.14,8.529,28772866,8192
1,2,64,3e-05,27.3252,536.94,8.49,0.6494921980233028,4.0,0.6376730799674988,0.6838235294117647,0.8122270742358079,0.8084,504.702,8.659,28772866,8192
1,2,128,0.0003,27.6284,531.047,4.199,0.6158776118837553,4.0,0.5937753915786743,0.6911764705882353,0.8125,0.8326,490.042,4.804,28772866,8192
1,2,128,0.0001,27.4656,534.196,4.223,0.6399220433728449,4.0,0.626936137676239,0.6838235294117647,0.8122270742358079,0.8241,495.094,4.854,28772866,8192
1,2,128,5e-05,27.5092,533.35,4.217,0.6519848396038187,4.0,0.638201117515564,0.6838235294117647,0.8122270742358079,0.8288,492.27,4.826,28772866,8192
1,2,128,3e-05,27.4434,534.627,4.227,0.6602494470004378,4.0,0.6489862203598022,0.6838235294117647,0.8116788321167884,0.8114,502.861,4.93,28772866,8192
1,4,8,0.0003,32.6975,448.72,56.151,0.5700932671042049,4.0,0.570098876953125,0.7205882352941176,0.822429906542056,0.8488,480.679,60.085,28772866,8192
1,4,8,0.0001,32.548,450.781,56.409,0.5885942496505439,4.0,0.5743172764778137,0.7058823529411765,0.8187311178247734,0.8653,471.488,58.936,28772866,8192
