rank,alpha,batch_size,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_parameters,trainable_parameters
1,1,8,0.0003,20.0079,733.31,91.764,0.6382766175114252,4.0,0.619658350944519,0.6838235294117647,0.8122270742358079,0.7603,536.656,67.082,4387202,1024
1,1,8,0.0001,19.7707,742.109,92.865,0.6589283413357205,4.0,0.6279606819152832,0.6887254901960784,0.812960235640648,0.7495,544.355,68.044,4387202,1024
1,1,8,5e-05,19.843,739.403,92.526,0.6939592299118541,4.0,0.6646168828010559,0.6617647058823529,0.7766990291262136,0.7506,543.547,67.943,4387202,1024
1,1,8,3e-05,20.0663,731.177,91.497,0.7182109890939883,4.0,0.7010163068771362,0.4362745098039216,0.41624365482233505,0.7556,539.951,67.494,4387202,1024
1,1,16,0.0003,12.1872,1203.89,75.489,0.6401053387185801,4.0,0.620145320892334,0.6887254901960784,0.8140556368960469,0.6588,619.326,39.467,4387202,1024
1,1,16,0.0001,12.3234,1190.581,74.655,0.6834866067637568,4.0,0.650761604309082,0.6764705882352942,0.7975460122699386,0.669,609.854,38.863,4387202,1024
1,1,16,5e-05,12.17,1205.589,75.596,0.7181151680324389,4.0,0.7010124921798706,0.4338235294117647,0.4151898734177215,0.6555,622.464,39.667,4387202,1024
1,1,16,3e-05,12.0947,1213.094,76.066,0.7334772856339165,4.0,0.7255455255508423,0.3161764705882353,0.014134275618374558,0.6727,606.494,38.649,4387202,1024
1,1,32,0.0003,8.6688,1692.513,53.064,0.6578729380731997,4.0,0.6257346868515015,0.6862745098039216,0.8123167155425219,0.6152,663.212,21.132,4387202,1024
1,1,32,0.0001,8.56,1714.02,53.738,0.7137894340183424,4.0,0.6924538612365723,0.5245098039215687,0.5872340425531914,0.6488,628.824,20.036,4387202,1024
1,1,32,5e-05,8.6501,1696.164,53.179,0.7354321023692255,4.0,0.7275199294090271,0.31862745098039214,0.014184397163120567,0.6264,651.334,20.753,4387202,1024
1,1,32,3e-05,8.7348,1679.712,52.663,0.7433099497919498,4.0,0.7394840121269226,0.3161764705882353,0.0,0.6422,635.326,20.243,4387202,1024
1,1,64,0.0003,6.8382,2145.606,33.927,0.6889614894472319,4.0,0.6545944809913635,0.6740196078431373,0.794435857805255,0.6072,671.897,11.528,4387202,1024
1,1,64,0.0001,6.8379,2145.685,33.929,0.7337018374739022,4.0,0.724665105342865,0.31862745098039214,0.02112676056338028,0.5977,682.562,11.711,4387202,1024
1,1,64,5e-05,7.0657,2076.504,32.835,0.7443611539643387,4.0,0.7409998774528503,0.3161764705882353,0.0,0.602,677.772,11.628,4387202,1024
1,1,64,3e-05,6.9707,2104.825,33.282,0.7483966432768723,4.0,0.7468426823616028,0.3161764705882353,0.0,0.5993,680.844,11.681,4387202,1024
1,1,128,0.0003,6.231,2354.692,18.617,0.7210499335979593,4.0,0.7036358714103699,0.40441176470588236,0.352,0.5956,684.984,6.716,4387202,1024
1,1,128,0.0001,6.1477,2386.584,18.869,0.7438641909895272,4.0,0.740304708480835,0.3161764705882353,0.0,0.5998,680.233,6.669,4387202,1024
1,1,128,5e-05,6.0898,2409.268,19.048,0.7490791452342066,4.0,0.7478960752487183,0.3161764705882353,0.0,0.9189,443.995,4.353,4387202,1024
1,1,128,3e-05,6.2338,2353.604,18.608,0.7511340174181708,4.0,0.7508041262626648,0.3161764705882353,0.0,0.6114,667.291,6.542,4387202,1024
1,2,8,0.0003,19.8652,738.577,92.423,0.6238495820488026,4.0,0.6139556169509888,0.696078431372549,0.8154761904761905,0.76,536.876,67.109,4387202,1024
1,2,8,0.0001,19.8931,737.54,92.293,0.6415040093050024,4.0,0.6221415400505066,0.6862745098039216,0.8117647058823529,0.7532,541.673,67.709,4387202,1024
1,2,8,5e-05,19.9671,734.809,91.951,0.6648042799340873,4.0,0.6337307691574097,0.6838235294117647,0.8054298642533937,0.7487,544.961,68.12,4387202,1024
1,2,8,3e-05,20.3636,720.501,90.161,0.6904817635197525,4.0,0.6615055799484253,0.6617647058823529,0.775974025974026,0.7771,525.016,65.627,4387202,1024
1,2,16,0.0003,12.181,1204.5,75.528,0.6298254261846128,4.0,0.616595983505249,0.6936274509803921,0.8153618906942393,0.6662,612.421,39.027,4387202,1024
1,2,16,0.0001,12.1728,1205.31,75.578,0.6559569980787194,4.0,0.6274420619010925,0.6862745098039216,0.8112094395280236,0.6599,618.239,39.398,4387202,1024
1,2,16,5e-05,12.2287,1199.803,75.233,0.6895348258640455,4.0,0.6596514582633972,0.6642156862745098,0.7800963081861958,0.6865,594.286,37.871,4387202,1024
1,2,16,3e-05,12.2947,1193.362,74.829,0.7141179955523947,4.0,0.6956103444099426,0.5073529411764706,0.5503355704697986,0.6606,617.593,39.356,4387202,1024
1,2,32,0.0003,8.7232,1681.952,52.733,0.6405872510827106,4.0,0.6211062669754028,0.6862745098039216,0.8106508875739645,0.6606,617.642,19.68,4387202,1024
1,2,32,0.0001,8.6999,1686.455,52.874,0.6832222980001699,4.0,0.6494660973548889,0.6715686274509803,0.7938461538461539,0.6402,637.254,20.305,4387202,1024
1,2,32,5e-05,8.7191,1682.751,52.758,0.7170496401579484,4.0,0.698790431022644,0.45588235294117646,0.4714285714285714,0.6232,654.645,20.859,4387202,1024
1,2,32,3e-05,8.7473,1677.325,52.588,0.7325950290845789,4.0,0.723508894443512,0.3161764705882353,0.021052631578947368,0.6159,662.457,21.108,4387202,1024
1,2,64,0.0003,6.9507,2110.862,33.378,0.6588426787277748,4.0,0.6271914839744568,0.6813725490196079,0.8088235294117647,0.6109,667.852,11.458,4387202,1024
1,2,64,0.0001,6.8235,2150.204,34.0,0.7135580654801994,4.0,0.6927284002304077,0.5220588235294118,0.587737843551797,0.6183,659.92,11.322,4387202,1024
