batch_size,learning_rate,rank,alpha,parameters,trainable_parameters,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second
8,0.0003,1,1,4387202,1024,24.9435,588.209,73.606,2616141208032.0,0.0014122390991770754,4.0,4.495665550231934,0.7083333333333334,0.8013355592654424,1.4783,275.99,34.499
8,0.0001,1,1,4387202,1024,24.882,589.664,73.788,2616141208032.0,0.0016132970228953558,4.0,4.470316410064697,0.7132352941176471,0.8040201005025126,1.4456,282.228,35.279
8,5e-05,1,1,4387202,1024,24.7928,591.784,74.054,2616141208032.0,0.001664507906875839,4.0,4.470517635345459,0.7107843137254902,0.802675585284281,1.5015,271.723,33.965
8,3e-05,1,1,4387202,1024,24.8842,589.61,73.782,2616141208032.0,0.0016857371432199458,4.0,4.471213340759277,0.7107843137254902,0.802675585284281,1.4636,278.755,34.844
16,0.0003,1,1,4387202,1024,16.3009,900.072,56.439,2767006989504.0,0.0029697648735473987,4.0,4.52134895324707,0.7083333333333334,0.8,1.4249,286.329,18.246
16,0.0001,1,1,4387202,1024,16.2272,904.16,56.695,2767006989504.0,0.0024246856003351832,4.0,4.477879047393799,0.7132352941176471,0.8040201005025126,1.4257,286.175,18.237
16,5e-05,1,1,4387202,1024,16.6352,881.986,55.304,2767006989504.0,0.0022784735764498298,4.0,4.477489948272705,0.7132352941176471,0.8040201005025126,1.3663,298.62,19.03
16,3e-05,1,1,4387202,1024,16.4682,890.93,55.865,2767006989504.0,0.0022078754785268204,4.0,4.476757526397705,0.7132352941176471,0.8040201005025126,1.3626,299.42,19.081
32,0.0003,1,1,4387202,1024,12.3287,1190.072,37.311,2912609085552.0,0.0013949145441469939,4.0,4.531662940979004,0.7107843137254902,0.802675585284281,1.32,309.092,9.849
32,0.0001,1,1,4387202,1024,12.4563,1177.876,36.929,2912609085552.0,0.0013458346543104751,4.0,4.491598129272461,0.7156862745098039,0.8060200668896321,1.3456,303.214,9.661
32,5e-05,1,1,4387202,1024,12.8774,1139.361,35.722,2912609085552.0,0.0013511635687040247,4.0,4.480574131011963,0.7181372549019608,0.8080133555926544,1.3216,308.713,9.836
32,3e-05,1,1,4387202,1024,13.0166,1127.176,35.339,2912609085552.0,0.0013530155886774479,4.0,4.477578639984131,0.7132352941176471,0.8040201005025126,1.3781,296.053,9.433
